销售BU,整合渠道,PDT描述,二级PDT描述,产品系列自定义,类型（SKU层级&打包预测）,工厂,ABC分类,整合代码,整合物料描述,单价,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,原10月预测结果
中国区,零售,电工,开关,A07,SKU预测(ACE06),OEM,F96,140057662,A071611A-一开单-磨砂银,19.039845165,0.23852,0.0,0.18396,0.397345,0.172184,0.02649,0.158939,0.119204,0.079469,0.013245,0.0,0.013245,0.066224,0.0,0.013246,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
中国区,流通,电工,开关,底盒,SKU预测(ACE06),OEM,E06,600010000200,8852-86浅底盒(暗装)-白,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.62453,1.173,0.575
中国区,流通,电工,开关,底盒,SKU预测(ACE06),OEM,E06,600010000100,8852-86R浅底盒(暗装)-红,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.05528,1.25925,0.23
中国区,零售/流通/工装,电工,开关,D08,SKU预测(ACE06),OEM,E06,600003002300,D081098BFQ-五孔扁插-防尘防水隐藏式,123.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.137616,21.134786000000002,4.6031200000000005,1.2374
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098000700,CP-GD01-12-壁挂式电力轨道-600mm-银色,141.45000322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249056,5.813595,6.506695,1.4286450325220001
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098000800,CP-GD01-12-壁挂式电力轨道-800mm-银色,205.85000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349945,3.355356,3.828815,1.0292500023
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098000400,CP-GD01-20-嵌入式电力轨道-600mm-银色,141.45000322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45264,1.711545,1.046729,1.4145000322
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098000500,CP-GD01-20-嵌入式电力轨道-800mm-银色,205.85000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35861,1.31744,1.7703129999999998,3.0877500069
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098002000,CP-GD01-8502-H2-双USB插座-灰色,44.2750046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566718,2.33772,2.5856399999999997,1.35481514076
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098002100,CP-GD01-1094B-H2-五孔扁插-灰色,24.03500621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115368,4.987223999999999,5.203564,0.612892658355
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098001300,CP-GD01-12-壁挂式电力轨道-600mm-黑色,141.45000322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.370802,8.161661,8.501141,4.766865108514001
中国区,零售/流通,电工,插排&断路器,轨道插座,SKU预测(ACE06),中山OEM,E06,605098001100,CP-GD01-12-壁挂式电力轨道-800mm-黑色,205.85000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703099999999998,6.360769,5.763808,6.422520014352
